seed,strategy,samples,mean_crops_per_sample,multi_crop_samples,region_accuracy,province_accuracy,province_balanced_accuracy,province_macro_f1
42,first,2023,1.0,0,0.9011369253583786,0.43302026693030155,0.4369561947403103,0.42731251692293487
42,start_end,2023,1.481463173504696,974,0.9021255561047948,0.43351458230350964,0.437230976460681,0.4271179999378616
42,uniform,2023,1.962926347009392,974,0.9011369253583786,0.43351458230350964,0.43717480550441895,0.4270751742731412
43,first,2023,1.0,0,0.8986653484923381,0.44537815126050423,0.44927241763478776,0.441101829636747
43,start_end,2023,1.481463173504696,974,0.8996539792387543,0.444389520514088,0.44723550974096626,0.4414137757222313
43,uniform,2023,1.962926347009392,974,0.9016312407315867,0.444389520514088,0.44787083940274763,0.44106077448466885
44,first,2023,1.0,0,0.9045971329708354,0.44982698961937717,0.4543794396166599,0.4419982264165589
44,start_end,2023,1.481463173504696,974,0.9036085022244191,0.45773603559070686,0.4626113493093105,0.4500538926432165
44,uniform,2023,1.962926347009392,974,0.9036085022244191,0.4547701433514582,0.459247832663003,0.44812247508092723
