experiment,metrics_file,region_accuracy,region_balanced_accuracy,region_macro_f1,province_accuracy,province_balanced_accuracy,province_macro_f1,router_entropy,expert_probabilities
h3_router_acoustic_prosody_seed42,metrics_test_best_province_accuracy.json,0.9091806515301086,0.9031430257263788,0.9056398178387065,0.45113524185587367,0.45371117524973686,0.44859577598400985,1.3862900733947754,"[0.2500632703304291, 0.24936038255691528, 0.25025761127471924, 0.2503189444541931]"
h3_router_acoustic_prosody_seed43,metrics_test_best_province_accuracy.json,0.9027640671273445,0.8978927412471966,0.899933714099439,0.4422507403751234,0.4449329226755522,0.44028847421745265,1.3862853050231934,"[0.24974586069583893, 0.24957627058029175, 0.2507745325565338, 0.24990344047546387]"
h3_router_acoustic_prosody_seed44,metrics_test_best_province_accuracy.json,0.9047384007897334,0.9009645388926572,0.9020297561638029,0.44669299111549854,0.4496938859127955,0.44270865666217624,1.3862895965576172,"[0.24968895316123962, 0.25008898973464966, 0.24990907311439514, 0.2503126859664917]"
h3_router_acoustic_seed42,metrics_test_best_province_accuracy.json,0.8958538993089832,0.8912140321446542,0.8923468598108264,0.4481737413622902,0.45164902462144885,0.4502845051761039,1.3862887620925903,"[0.250150203704834, 0.2499607503414154, 0.24999478459358215, 0.24989458918571472]"
h3_router_acoustic_seed43,metrics_test_best_province_accuracy.json,0.8988153998025666,0.8941066635083708,0.8948332558532512,0.44965449160908194,0.45178298868579886,0.44883111602011266,1.3862779140472412,"[0.25075051188468933, 0.24889294803142548, 0.2496282160282135, 0.25072863698005676]"
h3_router_acoustic_seed44,metrics_test_best_province_accuracy.json,0.9062191510365252,0.9008727327329353,0.9033246617511029,0.4318854886475814,0.43449002224795885,0.4268559808403473,1.3862760066986084,"[0.25127413868904114, 0.24894018471240997, 0.2505911886692047, 0.2491941750049591]"
h3_router_prosody_seed42,metrics_test_best_province_accuracy.json,0.910167818361303,0.9053323300762196,0.9067351714299394,0.4383020730503455,0.4390870795610439,0.4316261446645025,1.3862781524658203,"[0.2496148645877838, 0.24983344972133636, 0.250182181596756, 0.25036972761154175]"
h3_router_prosody_seed43,metrics_test_best_province_accuracy.json,0.9017769002961501,0.8955494953218183,0.8977957809632815,0.4432379072063179,0.44592493012144935,0.4411869446518303,1.3862738609313965,"[0.24970592558383942, 0.24907633662223816, 0.250911682844162, 0.25030606985092163]"
h3_router_prosody_seed44,metrics_test_best_province_accuracy.json,0.9072063178677197,0.9043662592072602,0.9049506896859457,0.46692991115498517,0.4688231243741282,0.4640458302999655,1.3862899541854858,"[0.25030699372291565, 0.24923060834407806, 0.24991105496883392, 0.25055167078971863]"
