task,runs,baseline_accuracy_mean,candidate_accuracy_mean,difference_accuracy_mean,candidate_better_accuracy_runs,bootstrap_ci_excludes_zero_accuracy_runs,baseline_balanced_accuracy_mean,candidate_balanced_accuracy_mean,difference_balanced_accuracy_mean,candidate_better_balanced_accuracy_runs,bootstrap_ci_excludes_zero_balanced_accuracy_runs,baseline_macro_f1_mean,candidate_macro_f1_mean,difference_macro_f1_mean,candidate_better_macro_f1_runs,bootstrap_ci_excludes_zero_macro_f1_runs,mcnemar_holm_significant_runs
region,3,0.9424946449167901,0.941506014170374,-0.0009886307464161599,1,0,0.9409620657612253,0.9405210178662163,-0.00044104789500905756,1,0,0.9412247819398782,0.940378948891973,-0.0008458330479051238,1,0,0
province,3,0.5987806887460866,0.6005931784478498,0.0018124897017630648,2,0,0.6006028569679885,0.6022163616088296,0.0016135046408409792,2,2,0.5950146357696793,0.595761108364689,0.0007464725950097432,2,2,0
