seed,task,samples,speakers,baseline_accuracy,candidate_accuracy,difference_accuracy,bootstrap_accuracy_ci_low,bootstrap_accuracy_ci_high,probability_candidate_better_accuracy,baseline_balanced_accuracy,candidate_balanced_accuracy,difference_balanced_accuracy,bootstrap_balanced_accuracy_ci_low,bootstrap_balanced_accuracy_ci_high,probability_candidate_better_balanced_accuracy,baseline_macro_f1,candidate_macro_f1,difference_macro_f1,bootstrap_macro_f1_ci_low,bootstrap_macro_f1_ci_high,probability_candidate_better_macro_f1,baseline_correct_candidate_wrong,baseline_wrong_candidate_correct,mcnemar_exact_p,mcnemar_holm_p,mcnemar_holm_significant_0_05
42,region,2023,1342,0.9436480474542758,0.9476025704399407,0.003954522985664899,-0.0024522125231201232,0.010590324991342057,0.8687,0.9417315535780496,0.945920707507656,0.004189153929606393,-0.002089328435765472,0.01089093827535577,0.8984,0.9422712712546115,0.9463868741594953,0.004115602904883775,-0.002385089531204934,0.01096023406254752,0.8893,16,24,0.26818725105476915,0.5802379585858122,False
42,province,2023,1342,0.5986159169550173,0.6050420168067226,0.006426099851705391,-0.010790620800526934,0.02372743127622846,0.7581,0.6008813722214058,0.6065264796684936,0.005645107447087794,-0.010851780024437837,0.022092852385621628,0.7479,0.5932164999358027,0.5977720689330299,0.0045555689972271995,-0.012999904619596792,0.02174421005866463,0.6799,119,132,0.44885539360960225,0.44885539360960225,False
43,region,2023,1342,0.9401878398418191,0.9382105783489867,-0.001977261492832394,-0.009742078698022594,0.005522296576956348,0.2853,0.9393111687883656,0.9376083165108007,-0.001702852277564948,-0.009502632242649581,0.005860576187350271,0.3292,0.9391701576967831,0.9371493153775828,-0.0020208423192003,-0.00993853330876958,0.005711002213025079,0.3051,30,26,0.6888797607233395,0.6888797607233395,False
43,province,2023,1342,0.5907068709836876,0.6070192782995552,0.016312407315867583,-0.0005161998011498118,0.03299467589860608,0.9688,0.5922992658605241,0.6093019997074338,0.017002733846909757,0.0011776603550199937,0.0335685991816396,0.9812,0.5888446905544971,0.6054629490653746,0.016618258510877504,0.0006165727231726871,0.03396296680970974,0.9791,110,143,0.04402513972110374,0.09704281691611696,False
44,region,2023,1342,0.9436480474542758,0.9387048937221948,-0.004943153732080985,-0.011736084861650087,0.0019665683382497105,0.0673,0.9418434749172606,0.938034029580192,-0.0038094453370686177,-0.01057025045426688,0.00309587780730699,0.1397,0.9422329168682401,0.9376006571388412,-0.0046322597293988466,-0.011482170244332634,0.00228068126055214,0.0926,29,19,0.19341265286193737,0.5802379585858122,False
44,province,2023,1342,0.6070192782995552,0.5897182402372714,-0.01730103806228378,-0.0349652121826476,0.0,0.0235,0.608627932822036,0.5908206054505614,-0.017807327371474613,-0.03486272421179173,-0.001131839252362729,0.0185,0.602982716818738,0.5840483070956626,-0.018934409723075474,-0.036260802534238856,-0.0010716591481465339,0.0185,144,109,0.03234760563870565,0.09704281691611696,False
