seed,model,stage,temperature,samples,accuracy,ece,nll,brier,mean_confidence
42,baseline,valid_before,1.7363424382461659,1903,0.44245927482921704,0.24891465378650462,2.5431514534757413,0.7947261641481542,0.6913739286157216
42,baseline,valid_after,1.7363424382461659,1903,0.44245927482921704,0.036756450912736875,2.1195394249195503,0.710435980334525,0.4538066260087184
42,baseline,test_before,1.7363424382461659,2023,0.37864557587740977,0.3059890663071489,2.8645213902962348,0.8703945614857677,0.6846346421845586
42,baseline,test_after,1.7363424382461659,2023,0.37864557587740977,0.08094922687382286,2.310844101553927,0.756548494125301,0.4480407924004596
42,candidate,valid_before,1.4316247491210605,1903,0.49658434051497635,0.14833962515224555,2.0035014816936525,0.682451285717879,0.644923965667222
42,candidate,valid_after,1.4316247491210605,1903,0.49658434051497635,0.03503649850450212,1.8518830445067416,0.650745971224014,0.49447483052915314
42,candidate,test_before,1.4316247491210605,2023,0.43302026693030155,0.19931803836823947,2.3076067200915795,0.7570177349216188,0.632338305298541
42,candidate,test_after,1.4316247491210605,2023,0.43302026693030155,0.05352452524708095,2.073729554434576,0.709562926574943,0.48313354850088003
43,baseline,valid_before,1.6149650610893602,1903,0.4251182343667893,0.22927696572336873,2.398922942746443,0.7882066162809535,0.6534837445411541
43,baseline,valid_after,1.6149650610893602,1903,0.4251182343667893,0.037895972820531525,2.095693467190476,0.7187685184179269,0.44716986822333304
43,baseline,test_before,1.6149650610893602,2023,0.4078101828966881,0.24759450247740603,2.6097247775072563,0.8209537895978518,0.6545359205484036
43,baseline,test_after,1.6149650610893602,2023,0.4078101828966881,0.048980444273103295,2.225537030250586,0.7426084162420571,0.44856929397313205
43,candidate,valid_before,1.781493052556761,1903,0.48502364687335786,0.25630860477924045,2.3605759020002988,0.7495242598105621,0.7391255635926615
43,candidate,valid_after,1.781493052556761,1903,0.48502364687335786,0.03813816918000665,1.9147984273730676,0.6633670383867222,0.5052160074931542
43,candidate,test_before,1.781493052556761,2023,0.44537815126050423,0.2848744193577482,2.6396241144000676,0.8065537964550216,0.7302525706182523
43,candidate,test_after,1.781493052556761,2023,0.44537815126050423,0.05123084376981239,2.0889798615783524,0.7050880424835791,0.49194577976381704
44,baseline,valid_before,1.8606071174876628,1903,0.4298476090383605,0.2928635352792258,2.72536528495742,0.8346973763820654,0.7227111443175863
44,baseline,valid_after,1.8606071174876628,1903,0.4298476090383605,0.0350845468831547,2.160136901273853,0.7224400309861404,0.45568387762309115
44,baseline,test_before,1.8606071174876628,2023,0.39742956005931784,0.32253614051248436,2.9979956455024204,0.8793795565176858,0.7199657005718022
44,baseline,test_after,1.8606071174876628,2023,0.39742956005931784,0.05962383564662428,2.3079154173382075,0.7520524869604802,0.4542539399192872
44,candidate,valid_before,1.6579925205449186,1903,0.5023646873357857,0.21632496873948703,2.1821572928442095,0.7116246920139581,0.7186896560752727
44,candidate,valid_after,1.6579925205449186,1903,0.5023646873357857,0.027672410407659047,1.8545493897890222,0.6476785275188655,0.5130504009883645
44,candidate,test_before,1.6579925205449186,2023,0.44982698961937717,0.2515673994143867,2.477147215576949,0.7825266280046647,0.7013943890337638
44,candidate,test_after,1.6579925205449186,2023,0.44982698961937717,0.051984562724152396,2.0513450868665006,0.7013622133717416,0.49484535369504107
