model,stage,seeds,temperature_mean,temperature_std,accuracy_mean,accuracy_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,mean_confidence_mean,mean_confidence_std
baseline,test_after,3,1.7373048722743965,0.12282385630381722,0.3946284396111386,0.01478270213699581,0.06318450226451681,0.016279113161221288,2.2814321830475737,0.048428766012131426,0.7504031324426128,0.007114894278338496,0.4502880087642929,0.0034447475847578252
baseline,test_before,3,1.7373048722743965,0.12282385630381722,0.3946284396111386,0.01478270213699581,0.2920399030990131,0.03936999674245074,2.824080604435304,0.19726925661191302,0.8569093025337685,0.031460796506041444,0.6863787544349215,0.032749740062082665
baseline,valid_after,3,1.7373048722743965,0.12282385630381722,0.4324750394114556,0.008964120919197044,0.036578990205474365,0.0014140891687957186,2.1251232644612927,0.03258256431184611,0.7172148432461974,0.006150994872057136,0.45222012395171424,0.004473234914181377
baseline,valid_before,3,1.7373048722743965,0.12282385630381722,0.4324750394114556,0.008964120919197044,0.2570183849296997,0.032558651704291376,2.555813227059868,0.1635890921784485,0.8058767189370576,0.025171389468403207,0.6891896058248207,0.03466535257995552
candidate,test_after,3,1.6237034407409132,0.17743664554594665,0.4427418026033943,0.008707998195237312,0.05224664391368191,0.001169084510298602,2.07135150095981,0.018929749619305457,0.7053377274767546,0.004106054213859468,0.48997489398657934,0.006099580992714389
candidate,test_before,3,1.6237034407409132,0.17743664554594665,0.4427418026033943,0.008707998195237312,0.24525328571345814,0.043126263527886156,2.4747926833561986,0.16602121972005093,0.7820327197937683,0.024771723941842613,0.6879950883168524,0.05031358447826368
candidate,valid_after,3,1.6237034407409132,0.17743664554594665,0.49465755824137325,0.008829625616485261,0.03361569269738927,0.005375597039063372,1.873743620556277,0.035579491583833445,0.6539305123765339,0.008314945584715756,0.504247079670224,0.009325613669663668
candidate,valid_before,3,1.6237034407409132,0.17743664554594665,0.49465755824137325,0.008829625616485261,0.20699106622365768,0.05458632102051634,2.1820782255127202,0.17853722328428898,0.714533412514133,0.033630959763594884,0.7009130617783854,0.049552908507207075
