true_province,predicted_province,baseline_count,candidate_count,change_candidate_minus_baseline
19,21,5,5,0
99,20,0,5,5
63,62,5,4,-1
61,71,2,5,3
77,38,5,1,-4
36,23,5,5,0
84,64,3,5,2
23,99,3,5,2
60,81,0,5,5
72,85,5,2,-3
62,83,2,5,3
81,93,5,1,-4
95,83,5,2,-3
67,94,2,5,3
34,14,1,5,4
88,20,1,5,4
61,81,3,5,2
22,88,0,5,5
12,37,5,1,-4
21,20,5,4,-1
34,17,0,5,5
23,19,4,5,1
78,38,5,3,-2
93,83,2,5,3
18,34,1,5,4
69,93,5,3,-2
24,28,5,4,-1
48,75,4,5,1
75,48,5,2,-3
75,37,5,4,-1
26,28,2,5,3
84,93,5,0,-5
93,59,5,5,0
48,61,5,0,-5
69,95,1,5,4
75,47,5,2,-3
19,88,3,5,2
93,89,5,2,-3
89,11,4,5,1
60,49,5,0,-5
15,27,4,5,1
97,24,5,3,-2
93,60,5,3,-2
83,72,5,4,-1
64,72,5,4,-1
60,67,2,5,3
36,17,0,5,5
23,36,5,3,-2
66,92,3,5,2
47,49,4,5,1
48,82,4,4,0
68,71,4,1,-3
48,23,4,1,-3
24,27,3,4,1
61,67,1,4,3
75,60,0,4,4
12,24,4,1,-3
93,18,2,4,2
23,89,4,3,-1
59,94,0,4,4
63,70,4,0,-4
20,22,4,2,-2
89,34,2,4,2
11,60,1,4,3
22,27,4,2,-2
20,89,4,3,-1
63,83,4,2,-2
65,83,0,4,4
85,47,4,3,-1
48,49,3,4,1
69,70,4,1,-3
12,34,1,4,3
72,84,2,4,2
60,79,4,3,-1
71,69,2,4,2
49,36,2,4,2
60,70,4,3,-1
62,85,4,3,-1
67,62,4,0,-4
23,24,0,4,4
14,24,0,4,4
34,27,3,4,1
64,63,4,0,-4
59,48,4,1,-3
23,18,3,4,1
99,30,1,4,3
49,19,3,4,1
93,69,0,4,4
19,26,3,4,1
93,48,2,4,2
89,21,3,4,1
83,70,4,1,-3
21,27,4,2,-2
48,14,4,1,-3
74,81,1,4,3
97,20,1,4,3
28,90,3,4,1
14,72,4,3,-1
79,93,4,0,-4
59,20,1,4,3
47,59,3,4,1
75,85,4,1,-3
47,25,4,0,-4
28,27,3,4,1
18,14,3,4,1
83,59,1,4,3
95,64,4,0,-4
28,11,4,1,-3
60,64,0,4,4
93,63,4,0,-4
88,25,2,4,2
47,75,1,4,3
49,92,1,4,3
18,24,4,0,-4
94,59,4,0,-4
60,62,4,4,0
25,82,3,4,1
59,61,4,0,-4
97,36,1,4,3
61,83,1,4,3
47,81,4,0,-4
99,12,4,2,-2
11,27,4,0,-4
22,25,4,0,-4
99,97,2,4,2
59,97,2,4,2
70,71,4,3,-1
26,11,4,3,-1
14,27,4,4,0
64,62,4,3,-1
66,84,0,4,4
77,78,4,0,-4
20,23,4,3,-1
34,97,4,2,-2
24,99,4,0,-4
71,60,4,2,-2
48,85,4,2,-2
82,75,3,4,1
17,24,4,2,-2
43,38,4,3,-1
75,36,3,4,1
63,65,4,0,-4
47,72,2,4,2
19,89,2,4,2
93,14,4,2,-2
61,49,3,4,1
11,36,1,4,3
12,14,2,4,2
93,75,4,2,-2
65,63,4,1,-3
95,67,1,4,3
90,25,4,0,-4
24,19,4,1,-3
30,14,4,3,-1
28,24,4,2,-2
21,34,0,4,4
19,14,3,1,-2
21,25,2,3,1
71,62,3,0,-3
49,27,3,1,-2
84,94,1,3,2
79,59,2,3,1
47,85,3,1,-2
60,19,3,0,-3
49,93,2,3,1
85,84,3,0,-3
30,17,2,3,1
60,65,3,1,-2
14,89,2,3,1
62,66,3,2,-1
19,17,2,3,1
95,63,1,3,2
79,66,2,3,1
22,23,3,0,-3
60,11,3,0,-3
85,83,1,3,2
79,60,0,3,3
65,68,2,3,1
22,93,3,0,-3
75,81,3,3,0
85,68,3,0,-3
47,19,0,3,3
12,97,0,3,3
71,93,3,1,-2
60,84,2,3,1
66,85,3,0,-3
60,37,3,1,-2
64,65,3,2,-1
93,66,3,2,-1
24,12,3,3,0
26,18,2,3,1
67,68,2,3,1
47,11,3,1,-2
82,49,3,3,0
72,18,3,0,-3
83,63,3,0,-3
30,27,3,0,-3
27,35,3,2,-1
84,47,3,0,-3
24,34,0,3,3
62,67,3,1,-2
84,68,1,3,2
88,27,3,2,-1
47,70,3,0,-3
86,76,1,3,2
18,15,3,0,-3
93,95,3,3,0
94,71,2,3,1
49,14,3,1,-2
49,60,3,1,-2
59,88,3,3,0
21,23,1,3,2
67,72,3,1,-2
22,89,3,0,-3
12,21,2,3,1
85,64,3,0,-3
20,97,3,2,-1
66,72,3,1,-2
69,60,3,2,-1
63,85,0,3,3
62,63,3,2,-1
59,22,0,3,3
65,61,1,3,2
34,47,3,0,-3
71,65,1,3,2
95,71,2,3,1
85,61,3,0,-3
18,89,3,0,-3
14,26,3,0,-3
89,90,0,3,3
75,49,2,3,1
25,99,3,1,-2
18,20,1,3,2
70,69,2,3,1
15,34,0,3,3
20,26,2,3,1
89,27,3,1,-2
79,69,2,3,1
27,17,3,2,-1
89,26,3,0,-3
89,23,1,3,2
92,82,3,1,-2
88,12,3,2,-1
69,61,3,0,-3
34,25,3,2,-1
36,27,3,0,-3
59,60,3,1,-2
49,62,0,3,3
30,19,3,0,-3
26,21,3,1,-2
71,79,3,3,0
79,95,3,0,-3
88,22,1,3,2
18,98,3,2,-1
82,79,2,3,1
60,61,2,3,1
68,94,1,3,2
48,36,3,3,0
22,18,2,3,1
71,95,2,3,1
95,68,2,3,1
12,28,0,3,3
37,24,2,3,1
63,72,3,1,-2
27,97,3,2,-1
68,65,3,3,0
27,34,0,3,3
21,19,2,3,1
63,69,3,2,-1
66,65,3,1,-2
47,61,2,3,1
61,68,2,3,1
59,62,3,1,-2
97,34,0,3,3
22,59,0,3,3
11,82,3,3,0
27,26,3,1,-2
17,26,3,0,-3
83,61,3,0,-3
26,27,3,0,-3
23,20,1,3,2
63,95,3,1,-2
65,95,0,3,3
36,88,2,3,1
20,19,3,0,-3
20,90,3,2,-1
93,88,0,3,3
68,84,3,2,-1
88,24,3,3,0
83,62,2,3,1
14,11,3,1,-2
36,59,1,3,2
67,84,3,3,0
89,20,3,3,0
47,97,3,0,-3
18,26,3,2,-1
20,27,3,1,-2
49,85,3,3,0
66,64,1,3,2
60,69,3,3,0
65,67,3,3,0
37,93,2,3,1
66,70,3,1,-2
27,99,3,0,-3
19,36,3,2,-1
98,72,2,3,1
79,84,3,2,-1
20,28,1,3,2
28,14,1,3,2
