seed,model,bin,lower,upper,count,accuracy,mean_confidence,calibration_gap
42,baseline,1,0.0,0.1,0,0.0,0.0,0.0
42,baseline,2,0.1,0.2,8,0.0,0.1816443968564272,0.1816443968564272
42,baseline,3,0.2,0.30000000000000004,75,0.04,0.26638172030448914,0.22638172030448914
42,baseline,4,0.30000000000000004,0.4,192,0.140625,0.35200691130012274,0.21138191130012274
42,baseline,5,0.4,0.5,250,0.176,0.448887579202652,0.272887579202652
42,baseline,6,0.5,0.6000000000000001,261,0.29118773946360155,0.5496984539817577,0.2585107145181561
42,baseline,7,0.6000000000000001,0.7000000000000001,239,0.24686192468619247,0.6506634506720379,0.4038015259858454
42,baseline,8,0.7000000000000001,0.8,237,0.2911392405063291,0.7475180895016666,0.45637884899533754
42,baseline,9,0.8,0.9,227,0.45374449339207046,0.8519165019631911,0.3981720085711207
42,baseline,10,0.9,1.0,534,0.7209737827715356,0.9630153211538265,0.24204153838229092
42,candidate,1,0.0,0.1,0,0.0,0.0,0.0
42,candidate,2,0.1,0.2,9,0.0,0.17970795101589626,0.17970795101589626
42,candidate,3,0.2,0.30000000000000004,151,0.13245033112582782,0.2589293319657938,0.126479000839966
42,candidate,4,0.30000000000000004,0.4,246,0.16260162601626016,0.35368681596062046,0.1910851899443603
42,candidate,5,0.4,0.5,301,0.2956810631229236,0.44778096784784943,0.15209990472492585
42,candidate,6,0.5,0.6000000000000001,263,0.34600760456273766,0.5465899084910694,0.2005823039283317
42,candidate,7,0.6000000000000001,0.7000000000000001,219,0.3470319634703196,0.644785517699098,0.29775355422877836
42,candidate,8,0.7000000000000001,0.8,209,0.47368421052631576,0.7530412873582977,0.2793570768319819
42,candidate,9,0.8,0.9,224,0.59375,0.850324310362339,0.256574310362339
42,candidate,10,0.9,1.0,401,0.8179551122194514,0.9573471616033902,0.1393920493839388
43,baseline,1,0.0,0.1,0,0.0,0.0,0.0
43,baseline,2,0.1,0.2,15,0.06666666666666667,0.16959603130817413,0.10292936464150747
43,baseline,3,0.2,0.30000000000000004,115,0.20869565217391303,0.2672241669634114,0.05852851478949836
43,baseline,4,0.30000000000000004,0.4,237,0.1729957805907173,0.35287613418534836,0.17988035359463106
43,baseline,5,0.4,0.5,281,0.25622775800711745,0.44936493452757703,0.19313717652045959
43,baseline,6,0.5,0.6000000000000001,252,0.24603174603174602,0.5507794341870716,0.3047476881553256
43,baseline,7,0.6000000000000001,0.7000000000000001,199,0.3768844221105528,0.6540738757531247,0.2771894536425719
43,baseline,8,0.7000000000000001,0.8,228,0.39035087719298245,0.7502487751475552,0.3598978979545727
43,baseline,9,0.8,0.9,244,0.4713114754098361,0.8495700530341415,0.37825857762430537
43,baseline,10,0.9,1.0,452,0.7654867256637168,0.9593790319904817,0.1938923063267649
43,candidate,1,0.0,0.1,0,0.0,0.0,0.0
43,candidate,2,0.1,0.2,3,0.0,0.1801407883564631,0.1801407883564631
43,candidate,3,0.2,0.30000000000000004,52,0.11538461538461539,0.26355209860664147,0.14816748322202608
43,candidate,4,0.30000000000000004,0.4,139,0.19424460431654678,0.3570901194064737,0.16284551508992695
43,candidate,5,0.4,0.5,213,0.18779342723004694,0.44983121850680857,0.26203779127676163
43,candidate,6,0.5,0.6000000000000001,230,0.2782608695652174,0.5492066131985706,0.27094574363335316
43,candidate,7,0.6000000000000001,0.7000000000000001,216,0.3287037037037037,0.6478382972655473,0.3191345935618436
43,candidate,8,0.7000000000000001,0.8,216,0.3287037037037037,0.7524604993285956,0.4237567956248919
43,candidate,9,0.8,0.9,286,0.4755244755244755,0.8500019378595419,0.3744774623350664
43,candidate,10,0.9,1.0,668,0.7275449101796407,0.9666521418058943,0.23910723162625358
44,baseline,1,0.0,0.1,0,0.0,0.0,0.0
44,baseline,2,0.1,0.2,5,0.0,0.17841596603393556,0.17841596603393556
44,baseline,3,0.2,0.30000000000000004,53,0.1509433962264151,0.2666892187212998,0.11574582249488471
44,baseline,4,0.30000000000000004,0.4,151,0.13245033112582782,0.35511512728716366,0.22266479616133583
44,baseline,5,0.4,0.5,218,0.18807339449541285,0.45644299098111074,0.2683695964856979
44,baseline,6,0.5,0.6000000000000001,244,0.2336065573770492,0.5501413228081875,0.31653476543113834
44,baseline,7,0.6000000000000001,0.7000000000000001,250,0.272,0.6497337064743042,0.37773370647430415
44,baseline,8,0.7000000000000001,0.8,225,0.35555555555555557,0.749520288043552,0.3939647324879964
44,baseline,9,0.8,0.9,219,0.3744292237442922,0.8524407594715624,0.4780115357272702
44,baseline,10,0.9,1.0,658,0.6808510638297872,0.9670859383232325,0.2862348744934453
44,candidate,1,0.0,0.1,0,0.0,0.0,0.0
44,candidate,2,0.1,0.2,2,0.0,0.17296549677848816,0.17296549677848816
44,candidate,3,0.2,0.30000000000000004,65,0.15384615384615385,0.2567145345302729,0.10286838068411902
44,candidate,4,0.30000000000000004,0.4,177,0.22598870056497175,0.3531461028055956,0.12715740224062386
44,candidate,5,0.4,0.5,237,0.2320675105485232,0.4534816164759141,0.22141410592739091
44,candidate,6,0.5,0.6000000000000001,242,0.256198347107438,0.5469392789296867,0.29074093182224875
44,candidate,7,0.6000000000000001,0.7000000000000001,235,0.35319148936170214,0.6496268186163395,0.2964353292546374
44,candidate,8,0.7000000000000001,0.8,249,0.4538152610441767,0.7507495415737351,0.2969342805295584
44,candidate,9,0.8,0.9,247,0.5020242914979757,0.8516954888216397,0.34967119732366403
44,candidate,10,0.9,1.0,569,0.7434094903339191,0.9658689608892363,0.22245947055531723
