experiment,load_balance_weight,region_accuracy,region_balanced_accuracy,region_macro_f1,province_accuracy,province_balanced_accuracy,province_macro_f1,soft_router_entropy,normalized_soft_router_entropy,effective_experts,top1_assignment_entropy,normalized_top1_assignment_entropy,active_experts_top1,max_top1_assignment_fraction,region_expert_nmi,province_expert_nmi,collapsed,near_uniform_soft_router,mean_expert_probabilities,top1_assignment_fractions
h4_lb_001_seed42,0.001,0.8963157894736842,0.8921125194009903,0.8921605623510122,0.4978947368421053,0.49278111446797307,0.4867280024182809,1.3862862586975098,0.999994155337706,3.999967590441775,0.9875806272165147,0.712388836681639,4,0.6431578947368422,0.2285253489016957,0.15656515292978584,False,True,"[0.24976271390914917, 0.25095632672309875, 0.2499161958694458, 0.24936503171920776]","[0.15368421052631578, 0.6431578947368422, 0.16894736842105262, 0.034210526315789476]"
h4_lb_001_seed43,0.001,0.8994736842105263,0.8945261264657604,0.8954584387163553,0.4963157894736842,0.491904693345539,0.48613557968605625,1.3862698078155518,0.9999822885347964,3.9999017879883643,0.9880697985847735,0.7127416992352048,4,0.6421052631578947,0.12338297627980302,0.11849666217444263,False,True,"[0.2488614022731781, 0.25153210759162903, 0.2503798305988312, 0.2492266744375229]","[0.08736842105263158, 0.6421052631578947, 0.21526315789473685, 0.05526315789473684]"
h4_lb_001_seed44,0.001,0.8905263157894737,0.8865328277747873,0.8852787637404868,0.49473684210526314,0.49158866054811906,0.4823990368672894,1.386264681816101,0.9999785909078029,3.9998812845465466,0.9444976696794772,0.6813110520888821,4,0.6710526315789473,0.24397272019327654,0.15490017948203985,False,True,"[0.2498665153980255, 0.24870620667934418, 0.2493818998336792, 0.2520453929901123]","[0.16263157894736843, 0.03315789473684211, 0.13315789473684211, 0.6710526315789473]"
