seed,model,stage,temperature,samples,accuracy,ece,nll,brier,mean_confidence
42,baseline,valid_before,1.5039637261861305,1903,0.603783499737257,0.1470802842250769,1.6162332398116623,0.5620128607815392,0.7508637839623338
42,baseline,valid_after,1.5039637261861305,1903,0.603783499737257,0.02929279708448057,1.4446747107403755,0.5267323758033695,0.6063478044646198
42,baseline,test_before,1.5039637261861305,2023,0.5442412259021255,0.18781461266818128,1.8798895010676884,0.6300816926944915,0.7318349768396565
42,baseline,test_after,1.5039637261861305,2023,0.5442412259021255,0.055630545755555184,1.6365061500845701,0.5832925448820915,0.5871451709189773
42,candidate,valid_before,1.487272074078269,1903,0.6431949553336836,0.13703297507553738,1.4255008024937335,0.5099031065995628,0.7785317918148952
42,candidate,valid_after,1.487272074078269,1903,0.6431949553336836,0.03227799502316424,1.277390041537119,0.4801871479243684,0.6484042661346626
42,candidate,test_before,1.487272074078269,2023,0.5986159169550173,0.16167192042713882,1.7044577715703235,0.5686100955437122,0.7602878373821561
42,candidate,test_after,1.487272074078269,2023,0.5986159169550173,0.045868323835406954,1.4835696449951652,0.5292781796151843,0.6266032997900205
43,baseline,valid_before,1.4520830146042107,1903,0.580136626379401,0.1432943114446991,1.6517364455441694,0.5875272278397958,0.7234309378241001
43,baseline,valid_after,1.4520830146042107,1903,0.580136626379401,0.042401902593279625,1.5079054660385849,0.5556982157577423,0.5839740492411463
43,baseline,test_before,1.4520830146042107,2023,0.5422639644092931,0.16380263561779054,1.8636673342822574,0.6269487900486003,0.7060666000270837
43,baseline,test_after,1.4520830146042107,2023,0.5422639644092931,0.0376521528047493,1.6660864254633865,0.59137033309756,0.5693064733762078
43,candidate,valid_before,1.471334340321579,1903,0.6421439831844457,0.12914266485985162,1.4211880404815493,0.5100057743130785,0.7712866480442971
43,candidate,valid_after,1.471334340321579,1903,0.6421439831844457,0.03352537444896141,1.281884221864882,0.4828795281948192,0.6434483773189207
43,candidate,test_before,1.471334340321579,2023,0.5907068709836876,0.15999980670233338,1.6278421284956481,0.5663666239330776,0.7504414564304671
43,candidate,test_after,1.471334340321579,2023,0.5907068709836876,0.049978467169376546,1.4467028609917956,0.5305617038146506,0.6182511880114623
44,baseline,valid_before,1.5259396227693807,1903,0.6074619022595901,0.14573486263418609,1.6392663063975983,0.5641552331380616,0.7531967648937762
44,baseline,valid_after,1.5259396227693807,1903,0.6074619022595901,0.031632926884184016,1.454987539766421,0.5294196976461548,0.6036161074391166
44,baseline,test_before,1.5259396227693807,2023,0.5635195254572417,0.17169437885810296,1.8377802516403325,0.6153233252196526,0.7351014112581098
44,baseline,test_after,1.5259396227693807,2023,0.5635195254572417,0.036178923159016864,1.602042305378704,0.5708396922810635,0.5838272696377541
44,candidate,valid_before,1.5145892892603576,1903,0.652653704676826,0.13812859735913702,1.4230901663406383,0.5015111888276013,0.790782302035963
44,candidate,valid_after,1.5145892892603576,1903,0.652653704676826,0.035613402586232926,1.260451026629782,0.47132696445622685,0.6549723630470691
44,candidate,test_before,1.5145892892603576,2023,0.6070192782995552,0.1608737102378188,1.6800237762735284,0.5584147283074631,0.767892988537374
44,candidate,test_after,1.5145892892603576,2023,0.6070192782995552,0.0494680881437902,1.4541118292216584,0.5200270839525659,0.6286163205682537
