model,stage,seeds,temperature_mean,temperature_std,accuracy_mean,accuracy_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,mean_confidence_mean,mean_confidence_std
baseline,test_after,3,1.4939954545199072,0.03792393007620099,0.5500082385895535,0.011742808240301087,0.04315387390644045,0.010830194214331306,1.6348782936422204,0.0320530773374879,0.581834190086905,0.010342722181103069,0.5800929713109797,0.009487545546695186
baseline,test_before,3,1.4939954545199072,0.03792393007620099,0.5500082385895535,0.011742808240301087,0.17443720904802493,0.01223871310862312,1.8604456956634259,0.02123867788673711,0.6241179359875815,0.007775773509219898,0.7243343293749499,0.015904397193785322
baseline,valid_after,3,1.4939954545199072,0.03792393007620099,0.5971273427920827,0.014828890533050833,0.03444254218731474,0.006991610359845304,1.4691892388484604,0.033923418113570324,0.5372834297357555,0.016004177043770353,0.5979793203816276,0.012205583023706177
baseline,valid_before,3,1.4939954545199072,0.03792393007620099,0.5971273427920827,0.014828890533050833,0.14536981943465402,0.001919202927411243,1.6357453305844765,0.018011589528096117,0.571231773919799,0.014152872629701564,0.7424971622267367,0.016552987184656136
candidate,test_after,3,1.4910652345534021,0.021875527461450342,0.5987806887460866,0.008157451833571666,0.048438293049524565,0.002240240613990793,1.4614614450695396,0.019501348171891832,0.5266223224608003,0.005747585304110501,0.6244902694565789,0.005496150118264392
candidate,test_before,3,1.4910652345534021,0.021875527461450342,0.5987806887460866,0.008157451833571666,0.16084847912243036,0.0008363423545764562,1.6707745587798335,0.03913630295672765,0.5644638159280843,0.005357414208216078,0.7595407607833323,0.00874971918423573
candidate,valid_after,3,1.4910652345534021,0.021875527461450342,0.6459975477316519,0.005788303255161406,0.033805590686119526,0.0016852675626200246,1.2732417633439275,0.011302726373426908,0.47813121352513815,0.006044467050453124,0.6489416688335509,0.00578075799625111
candidate,valid_before,3,1.4910652345534021,0.021875527461450342,0.6459975477316519,0.005788303255161406,0.13476807909817534,0.004902454595570613,1.4232596697719737,0.0021613716948642677,0.5071400232467475,0.0048749838823809325,0.7802002472983851,0.009854336046430524
