seed,province,support,baseline_accuracy,candidate_accuracy,improvement,fixed,regressed
42,11,35,0.8,0.9714285714285714,0.17142857142857137,6,0
42,12,33,0.2727272727272727,0.3333333333333333,0.06060606060606061,3,1
42,14,34,0.47058823529411764,0.6470588235294118,0.17647058823529416,7,1
42,15,33,0.8181818181818182,0.8181818181818182,0.0,0,0
42,17,33,0.6363636363636364,0.7575757575757576,0.12121212121212122,5,1
42,18,31,0.5483870967741935,0.7419354838709677,0.19354838709677424,6,0
42,19,32,0.28125,0.375,0.09375,3,0
42,20,31,0.3225806451612903,0.3870967741935484,0.06451612903225806,3,1
42,21,33,0.48484848484848486,0.42424242424242425,-0.06060606060606061,0,2
42,22,34,0.3235294117647059,0.6764705882352942,0.35294117647058826,14,2
42,23,33,0.696969696969697,0.6666666666666666,-0.030303030303030387,3,4
42,24,38,0.39473684210526316,0.18421052631578946,-0.2105263157894737,0,8
42,25,27,0.07407407407407407,0.1111111111111111,0.037037037037037035,1,0
42,26,35,0.37142857142857144,0.6571428571428571,0.2857142857142857,10,0
42,27,28,0.32142857142857145,0.35714285714285715,0.0357142857142857,3,2
42,28,32,0.59375,0.625,0.03125,1,0
42,30,29,0.896551724137931,0.9310344827586207,0.03448275862068961,2,1
42,34,30,0.6,0.6666666666666666,0.06666666666666665,2,0
42,35,26,0.9615384615384616,1.0,0.038461538461538436,1,0
42,36,29,0.9310344827586207,0.8620689655172413,-0.06896551724137934,0,2
42,37,43,1.0,1.0,0.0,0,0
42,38,33,0.9393939393939394,0.8787878787878788,-0.06060606060606066,0,2
42,43,33,0.696969696969697,0.6666666666666666,-0.030303030303030387,0,1
42,47,34,0.29411764705882354,0.4411764705882353,0.14705882352941174,9,4
42,48,31,0.3225806451612903,0.25806451612903225,-0.06451612903225806,3,5
42,49,33,0.15151515151515152,0.18181818181818182,0.030303030303030304,1,0
42,59,34,0.5294117647058824,0.6764705882352942,0.1470588235294118,7,2
42,60,31,0.3870967741935484,0.41935483870967744,0.03225806451612906,1,0
42,61,33,0.3939393939393939,0.3333333333333333,-0.06060606060606061,1,3
42,62,38,0.18421052631578946,0.2631578947368421,0.07894736842105263,3,0
42,63,33,0.48484848484848486,0.5757575757575758,0.09090909090909094,4,1
42,64,30,0.36666666666666664,0.4,0.03333333333333338,1,0
42,65,28,0.5,0.5714285714285714,0.0714285714285714,3,1
42,66,28,0.5,0.5,0.0,2,2
42,67,31,0.3225806451612903,0.3225806451612903,0.0,2,2
42,68,32,0.375,0.34375,-0.03125,0,1
42,69,37,0.24324324324324326,0.21621621621621623,-0.02702702702702703,2,3
42,70,34,0.7647058823529411,0.8235294117647058,0.05882352941176472,3,1
42,71,31,0.5806451612903226,0.5161290322580645,-0.06451612903225812,3,5
42,72,31,0.8064516129032258,0.8387096774193549,0.032258064516129115,1,0
42,73,34,0.4117647058823529,0.6176470588235294,0.20588235294117652,7,0
42,74,30,0.7333333333333333,0.7333333333333333,0.0,0,0
42,75,32,0.9375,0.90625,-0.03125,0,1
42,76,37,0.972972972972973,1.0,0.027027027027026973,1,0
42,77,28,0.9285714285714286,0.9642857142857143,0.0357142857142857,2,1
42,78,32,0.75,0.8125,0.0625,4,2
42,79,30,0.7666666666666667,0.8666666666666667,0.09999999999999998,4,1
42,81,33,0.5454545454545454,0.8181818181818182,0.2727272727272728,9,0
42,82,31,0.8709677419354839,0.8387096774193549,-0.032258064516129004,0,1
42,83,31,0.2903225806451613,0.2903225806451613,0.0,2,2
42,84,40,0.1,0.225,0.125,5,0
42,85,34,0.7941176470588235,0.9411764705882353,0.1470588235294118,5,0
42,86,33,0.5757575757575758,0.7878787878787878,0.21212121212121204,7,0
42,88,28,0.35714285714285715,0.5357142857142857,0.17857142857142855,7,2
42,89,30,0.7333333333333333,0.7666666666666667,0.03333333333333344,2,1
42,90,27,0.48148148148148145,0.5925925925925926,0.1111111111111111,3,0
42,92,30,0.9666666666666667,0.9333333333333333,-0.033333333333333326,1,2
42,93,35,0.5142857142857142,0.4,-0.11428571428571421,3,7
42,94,33,0.12121212121212122,0.15151515151515152,0.030303030303030304,2,1
42,95,30,0.6666666666666666,0.6666666666666666,0.0,2,2
42,97,34,0.35294117647058826,0.38235294117647056,0.029411764705882304,3,2
42,98,28,0.8571428571428571,0.9285714285714286,0.07142857142857151,2,0
42,99,29,0.06896551724137931,0.27586206896551724,0.20689655172413793,6,0
43,11,35,0.9142857142857143,0.9428571428571428,0.02857142857142858,3,2
43,12,33,0.24242424242424243,0.3333333333333333,0.09090909090909088,3,0
43,14,34,0.5882352941176471,0.6470588235294118,0.05882352941176472,2,0
43,15,33,0.696969696969697,0.696969696969697,0.0,1,1
43,17,33,0.48484848484848486,0.7272727272727273,0.24242424242424243,8,0
43,18,31,0.6129032258064516,0.7096774193548387,0.09677419354838712,4,1
43,19,32,0.4375,0.53125,0.09375,5,2
43,20,31,0.41935483870967744,0.5161290322580645,0.09677419354838707,3,0
43,21,33,0.36363636363636365,0.36363636363636365,0.0,2,2
43,22,34,0.4117647058823529,0.5588235294117647,0.1470588235294118,6,1
43,23,33,0.6060606060606061,0.5757575757575758,-0.030303030303030276,1,2
43,24,38,0.23684210526315788,0.21052631578947367,-0.02631578947368421,1,2
43,25,27,0.1111111111111111,0.14814814814814814,0.037037037037037035,1,0
43,26,35,0.42857142857142855,0.5714285714285714,0.14285714285714285,6,1
43,27,28,0.25,0.21428571428571427,-0.035714285714285726,2,3
43,28,32,0.53125,0.6875,0.15625,6,1
43,30,29,0.9310344827586207,0.9655172413793104,0.034482758620689724,2,1
43,34,30,0.5,0.4666666666666667,-0.033333333333333326,0,1
43,35,26,0.8461538461538461,0.9230769230769231,0.07692307692307698,3,1
43,36,29,0.9655172413793104,0.896551724137931,-0.06896551724137934,0,2
43,37,43,1.0,1.0,0.0,0,0
