seed,model,bin,lower,upper,count,accuracy,mean_confidence,calibration_gap
42,baseline,1,0.0,0.06666666666666667,0,0.0,0.0,0.0
42,baseline,2,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0
42,baseline,3,0.13333333333333333,0.2,4,0.25,0.19414959475398064,-0.05585040524601936
42,baseline,4,0.2,0.26666666666666666,26,0.07692307692307693,0.23548873055439729,0.15856565363132036
42,baseline,5,0.26666666666666666,0.3333333333333333,90,0.2,0.3047133806678984,0.10471338066789837
42,baseline,6,0.3333333333333333,0.4,94,0.14893617021276595,0.36535786789782504,0.2164216976850591
42,baseline,7,0.4,0.4666666666666667,128,0.1953125,0.43187208846211433,0.23655958846211433
42,baseline,8,0.4666666666666667,0.5333333333333333,162,0.24074074074074073,0.5001683003372617,0.259427559596521
42,baseline,9,0.5333333333333333,0.6,149,0.3087248322147651,0.5656889425028091,0.256964110288044
42,baseline,10,0.6,0.6666666666666666,131,0.44274809160305345,0.6323426588801028,0.18959456727704932
42,baseline,11,0.6666666666666666,0.7333333333333333,143,0.36363636363636365,0.6991961198253231,0.3355597561889595
42,baseline,12,0.7333333333333333,0.8,135,0.5703703703703704,0.7662078729382268,0.19583750256785637
42,baseline,13,0.8,0.8666666666666667,145,0.5655172413793104,0.8316034045712701,0.26608616319195977
42,baseline,14,0.8666666666666667,0.9333333333333333,195,0.6871794871794872,0.9018242456974127,0.21464475851792553
42,baseline,15,0.9333333333333333,1.0,621,0.8904991948470209,0.979939208322485,0.08944001347546415
42,candidate,1,0.0,0.06666666666666667,0,0.0,0.0,0.0
42,candidate,2,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0
42,candidate,3,0.13333333333333333,0.2,5,0.0,0.1807969927787781,0.1807969927787781
42,candidate,4,0.2,0.26666666666666666,29,0.20689655172413793,0.2448096182839624,0.03791306655982446
42,candidate,5,0.26666666666666666,0.3333333333333333,51,0.23529411764705882,0.30120201671824737,0.06590789907118855
42,candidate,6,0.3333333333333333,0.4,88,0.23863636363636365,0.3687194599346681,0.13008309629830445
42,candidate,7,0.4,0.4666666666666667,121,0.2231404958677686,0.43591641172889833,0.21277591586112973
42,candidate,8,0.4666666666666667,0.5333333333333333,135,0.3037037037037037,0.5014952224713785,0.19779151876767476
42,candidate,9,0.5333333333333333,0.6,137,0.35036496350364965,0.5667561675510268,0.2163912040473771
42,candidate,10,0.6,0.6666666666666666,127,0.33070866141732286,0.6330715591513266,0.30236289773400377
42,candidate,11,0.6666666666666666,0.7333333333333333,114,0.43859649122807015,0.6991067774463118,0.2605102862182416
42,candidate,12,0.7333333333333333,0.8,137,0.5109489051094891,0.767929344281663,0.25698043917217395
42,candidate,13,0.8,0.8666666666666667,157,0.5732484076433121,0.8343179544825463,0.2610695468392342
42,candidate,14,0.8666666666666667,0.9333333333333333,206,0.7427184466019418,0.9032185011118361,0.16050005450989435
42,candidate,15,0.9333333333333333,1.0,716,0.909217877094972,0.980169514704017,0.07095163760904499
43,baseline,1,0.0,0.06666666666666667,0,0.0,0.0,0.0
43,baseline,2,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0
43,baseline,3,0.13333333333333333,0.2,7,0.14285714285714285,0.17969109543732234,0.03683395258017949
43,baseline,4,0.2,0.26666666666666666,47,0.0851063829787234,0.23779487419635692,0.1526884912176335
43,baseline,5,0.26666666666666666,0.3333333333333333,94,0.14893617021276595,0.3025952136897026,0.15365904347693665
43,baseline,6,0.3333333333333333,0.4,116,0.1724137931034483,0.36704017401769246,0.19462638091424417
43,baseline,7,0.4,0.4666666666666667,167,0.25149700598802394,0.43364715843857404,0.1821501524505501
43,baseline,8,0.4666666666666667,0.5333333333333333,152,0.3092105263157895,0.5001739094916143,0.19096338317582484
43,baseline,9,0.5333333333333333,0.6,149,0.3624161073825503,0.5665834530087925,0.20416734562624222
43,baseline,10,0.6,0.6666666666666666,143,0.3986013986013986,0.6349479510233953,0.2363465524219967
43,baseline,11,0.6666666666666666,0.7333333333333333,130,0.5076923076923077,0.6983887186417213,0.1906964109494136
43,baseline,12,0.7333333333333333,0.8,130,0.5230769230769231,0.7661668172249427,0.24308989414801963
43,baseline,13,0.8,0.8666666666666667,151,0.6821192052980133,0.8338362314053719,0.1517170261073586
43,baseline,14,0.8666666666666667,0.9333333333333333,209,0.69377990430622,0.9025877999346792,0.20880789562845914
43,baseline,15,0.9333333333333333,1.0,528,0.9015151515151515,0.9778628518635576,0.0763477003484061
43,candidate,1,0.0,0.06666666666666667,0,0.0,0.0,0.0
43,candidate,2,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0
43,candidate,3,0.13333333333333333,0.2,4,0.25,0.18293217197060585,-0.06706782802939415
43,candidate,4,0.2,0.26666666666666666,22,0.045454545454545456,0.23884192515503277,0.1933873797004873
43,candidate,5,0.26666666666666666,0.3333333333333333,70,0.14285714285714285,0.3020875096321106,0.15923036677496777
43,candidate,6,0.3333333333333333,0.4,111,0.17117117117117117,0.3683356248043679,0.1971644536331967
43,candidate,7,0.4,0.4666666666666667,113,0.21238938053097345,0.4339378188669154,0.22154843833594196
43,candidate,8,0.4666666666666667,0.5333333333333333,125,0.312,0.5006052706241607,0.18860527062416071
43,candidate,9,0.5333333333333333,0.6,134,0.3582089552238806,0.5657935823077587,0.2075846270838781
43,candidate,10,0.6,0.6666666666666666,137,0.3722627737226277,0.6289534007545805,0.2566906270319528
43,candidate,11,0.6666666666666666,0.7333333333333333,132,0.5833333333333334,0.699436366558075,0.11610303322474158
43,candidate,12,0.7333333333333333,0.8,140,0.5428571428571428,0.7692702080522265,0.22641306519508364
43,candidate,13,0.8,0.8666666666666667,152,0.5197368421052632,0.8334504381606453,0.3137135960553822
43,candidate,14,0.8666666666666667,0.9333333333333333,209,0.7081339712918661,0.9020484355077789,0.19391446421591285
43,candidate,15,0.9333333333333333,1.0,674,0.9228486646884273,0.9811510811573674,0.05830241646894008
44,baseline,1,0.0,0.06666666666666667,0,0.0,0.0,0.0
44,baseline,2,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0
44,baseline,3,0.13333333333333333,0.2,5,0.2,0.17724265158176422,-0.02275734841823579
44,baseline,4,0.2,0.26666666666666666,32,0.125,0.2365021612495184,0.1115021612495184
44,baseline,5,0.26666666666666666,0.3333333333333333,53,0.16981132075471697,0.2966337260210289,0.12682240526631192
44,baseline,6,0.3333333333333333,0.4,105,0.22857142857142856,0.3689795156319936,0.14040808706056504
44,baseline,7,0.4,0.4666666666666667,143,0.25874125874125875,0.4344181285037861,0.17567686976252733
44,baseline,8,0.4666666666666667,0.5333333333333333,144,0.3402777777777778,0.49907308920390075,0.15879531142612296
44,baseline,9,0.5333333333333333,0.6,144,0.3125,0.5652721114456654,0.25277211144566536
44,baseline,10,0.6,0.6666666666666666,147,0.4013605442176871,0.6294761133842728,0.2281155691665857
44,baseline,11,0.6666666666666666,0.7333333333333333,156,0.44871794871794873,0.7023681986790437,0.2536502499610949
44,baseline,12,0.7333333333333333,0.8,130,0.5076923076923077,0.7668793531564566,0.25918704546414895
44,baseline,13,0.8,0.8666666666666667,157,0.5732484076433121,0.8343450730773294,0.2610966654340173
44,baseline,14,0.8666666666666667,0.9333333333333333,195,0.6666666666666666,0.9033607978087205,0.23669413114205384
44,baseline,15,0.9333333333333333,1.0,612,0.9084967320261438,0.9801628381208657,0.0716661060947219
44,candidate,1,0.0,0.06666666666666667,0,0.0,0.0,0.0
44,candidate,2,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0
44,candidate,3,0.13333333333333333,0.2,5,0.0,0.17930704057216645,0.17930704057216645
44,candidate,4,0.2,0.26666666666666666,13,0.23076923076923078,0.2472764620414147,0.016507231272183925
44,candidate,5,0.26666666666666666,0.3333333333333333,61,0.19672131147540983,0.30344812303292945,0.10672681155751962
44,candidate,6,0.3333333333333333,0.4,81,0.14814814814814814,0.3658414133536963,0.21769326520554816
44,candidate,7,0.4,0.4666666666666667,102,0.21568627450980393,0.4345789905272278,0.21889271601742388
44,candidate,8,0.4666666666666667,0.5333333333333333,133,0.3308270676691729,0.5004382601806096,0.16961119251143664
44,candidate,9,0.5333333333333333,0.6,147,0.3333333333333333,0.5685497429095158,0.23521640957618245
44,candidate,10,0.6,0.6666666666666666,129,0.3953488372093023,0.6320832866106847,0.23673444940138239
44,candidate,11,0.6666666666666666,0.7333333333333333,125,0.448,0.7006365737915039,0.2526365737915039
44,candidate,12,0.7333333333333333,0.8,117,0.5470085470085471,0.7667016845483047,0.2196931375397576
44,candidate,13,0.8,0.8666666666666667,168,0.6011904761904762,0.8330307365173385,0.23184026032686234
44,candidate,14,0.8666666666666667,0.9333333333333333,213,0.7230046948356808,0.9017449175248123,0.1787402226891316
44,candidate,15,0.9333333333333333,1.0,729,0.9053497942386831,0.982013019678197,0.07666322543951387
