seed,model,ece,nll,brier,mean_confidence
42,baseline,0.1878146134976167,1.879889499471965,0.6300816942270197,0.7318349776884382
42,candidate,0.16167192211907747,1.70445777019819,0.5686100944622714,0.7602878390740948
43,baseline,0.16380263707364368,1.8636673329594085,0.6269487890079829,0.7060666014829368
43,candidate,0.15999980712814965,1.6278421282450233,0.5663666242607984,0.7504414568442964
44,baseline,0.171694377824863,1.837780252966044,0.61532332511395,0.7351014102103388
44,candidate,0.16087370852373994,1.6800237783330845,0.5584147266716787,0.7678929868232951
