true_province,predicted_province,baseline_count,candidate_count,change_candidate_minus_baseline
68,94,0,4,4
85,61,4,0,-4
22,21,4,0,-4
69,93,4,3,-1
85,47,2,4,2
64,63,4,2,-2
71,83,4,2,-2
93,62,4,3,-1
70,71,2,4,2
22,24,4,0,-4
79,81,4,2,-2
48,36,4,0,-4
25,97,3,1,-2
67,84,0,3,3
17,97,3,0,-3
27,30,3,3,0
59,61,3,0,-3
93,70,3,3,0
28,23,2,3,1
49,97,3,2,-1
34,47,3,0,-3
18,88,1,3,2
90,30,3,1,-2
25,93,1,3,2
48,49,3,2,-1
49,24,2,3,1
27,24,2,3,1
88,24,1,3,2
14,17,3,1,-2
71,61,3,3,0
82,47,3,3,0
95,47,3,0,-3
81,61,0,3,3
79,70,3,1,-2
81,59,3,0,-3
94,84,3,3,0
98,11,2,3,1
19,11,2,3,1
97,27,3,0,-3
72,49,3,2,-1
34,24,3,2,-1
24,27,3,2,-1
72,71,3,2,-1
18,20,3,3,0
24,22,3,0,-3
68,69,1,3,2
14,49,3,1,-2
59,85,2,3,1
22,18,0,3,3
60,62,1,3,2
47,34,1,3,2
68,70,3,2,-1
61,65,1,3,2
49,48,3,3,0
85,68,3,2,-1
74,38,3,1,-2
24,17,2,3,1
27,34,3,3,0
66,83,3,2,-1
64,67,2,3,1
63,61,3,3,0
19,97,3,1,-2
17,89,1,3,2
66,94,3,0,-3
17,25,0,3,3
20,90,3,3,0
47,79,2,3,1
49,93,3,0,-3
68,95,2,3,1
25,88,3,0,-3
26,34,3,3,0
34,97,3,2,-1
88,25,0,3,3
49,69,0,3,3
86,78,2,3,1
66,34,0,3,3
60,86,3,0,-3
97,93,3,0,-3
67,68,1,3,2
75,47,0,3,3
66,67,1,3,2
26,28,3,1,-2
36,11,0,3,3
67,93,3,1,-2
95,94,3,3,0
20,27,0,3,3
93,85,3,3,0
48,11,3,3,0
65,63,2,3,1
48,26,0,3,3
88,17,3,0,-3
82,75,3,3,0
17,23,3,2,-1
62,61,3,1,-2
27,23,2,3,1
17,20,3,0,-3
21,19,1,3,2
23,49,3,3,0
62,72,2,3,1
49,11,2,3,1
14,99,3,3,0
14,98,3,3,0
71,69,3,0,-3
26,23,3,1,-2
28,93,2,3,1
97,23,3,2,-1
48,37,3,3,0
17,59,3,0,-3
60,21,0,3,3
26,20,1,3,2
97,26,0,3,3
27,25,0,3,3
14,34,3,3,0
12,89,3,1,-2
72,59,3,0,-3
20,48,3,2,-1
59,81,3,0,-3
83,63,3,0,-3
48,81,3,0,-3
18,48,3,3,0
26,25,3,2,-1
66,93,3,3,0
59,20,0,3,3
82,11,1,3,2
15,17,1,3,2
18,27,2,1,-1
86,47,2,0,-2
70,95,1,2,1
65,70,2,2,0
89,23,2,2,0
49,19,2,2,0
66,70,2,1,-1
62,64,2,1,-1
49,36,2,1,-1
23,72,2,2,0
70,65,0,2,2
63,93,2,1,-1
48,14,2,1,-1
64,60,2,0,-2
76,86,2,1,-1
67,94,1,2,1
90,97,0,2,2
49,27,1,2,1
99,18,0,2,2
93,95,1,2,1
12,26,0,2,2
69,67,2,1,-1
70,84,1,2,1
23,12,1,2,1
47,37,2,2,0
20,23,2,2,0
48,17,2,0,-2
89,47,2,0,-2
59,95,2,1,-1
22,19,2,0,-2
66,65,2,1,-1
22,81,2,0,-2
72,79,1,2,1
34,11,1,2,1
20,26,2,0,-2
25,17,0,2,2
84,63,2,0,-2
59,67,2,0,-2
99,21,2,0,-2
66,61,2,1,-1
93,59,1,2,1
28,99,2,1,-1
65,84,2,0,-2
62,68,2,2,0
70,83,1,2,1
48,60,2,0,-2
49,17,2,1,-1
61,23,2,1,-1
36,89,0,2,2
92,47,1,2,1
47,92,1,2,1
99,95,1,2,1
61,66,2,1,-1
71,67,1,2,1
12,94,2,1,-1
25,20,2,1,-1
36,88,2,0,-2
28,36,2,0,-2
99,24,2,0,-2
71,62,2,1,-1
94,68,0,2,2
99,26,0,2,2
83,65,2,2,0
94,62,2,1,-1
20,30,2,2,0
85,62,1,2,1
12,34,2,1,-1
86,81,2,0,-2
12,68,2,1,-1
62,71,2,0,-2
36,12,1,2,1
47,49,0,2,2
81,82,2,0,-2
19,48,2,2,0
86,48,2,0,-2
36,17,1,2,1
20,97,2,2,0
18,99,2,0,-2
88,28,1,2,1
93,36,2,1,-1
59,97,1,2,1
83,59,1,2,1
27,14,2,1,-1
43,73,2,2,0
63,83,2,0,-2
82,92,2,1,-1
26,49,1,2,1
14,59,2,0,-2
24,25,1,2,1
89,17,2,2,0
15,99,2,0,-2
61,97,1,2,1
68,59,0,2,2
99,98,2,0,-2
66,64,1,2,1
43,81,1,2,1
28,90,0,2,2
30,20,0,2,2
99,90,0,2,2
28,19,2,1,-1
59,82,1,2,1
71,66,0,2,2
95,68,2,2,0
85,23,2,2,0
48,85,2,1,-1
20,14,2,0,-2
23,82,2,0,-2
99,48,2,1,-1
81,48,1,2,1
97,12,2,0,-2
49,23,1,2,1
88,23,2,1,-1
14,21,0,2,2
12,23,0,2,2
24,30,2,0,-2
72,24,2,1,-1
24,12,2,2,0
67,83,2,2,0
81,93,1,2,1
11,19,2,1,-1
71,72,0,2,2
34,17,1,2,1
94,61,2,1,-1
90,23,2,0,-2
43,49,2,2,0
95,70,1,2,1
27,93,1,2,1
22,30,1,2,1
43,77,2,0,-2
71,70,2,0,-2
64,69,0,2,2
79,71,0,2,2
94,72,2,0,-2
88,59,2,2,0
17,47,2,0,-2
81,49,0,2,2
19,20,1,2,1
65,68,2,0,-2
67,65,2,0,-2
67,60,1,2,1
37,74,2,0,-2
60,97,2,0,-2
24,26,0,2,2
48,97,2,0,-2
27,47,2,0,-2
12,47,2,0,-2
93,18,1,2,1
88,35,2,0,-2
93,89,2,2,0
22,34,2,0,-2
20,93,0,2,2
34,93,0,2,2
63,94,0,1,1
47,95,1,0,-1
14,63,1,0,-1
88,30,1,1,0
20,25,0,1,1
68,64,1,0,-1
49,99,1,0,-1
59,18,0,1,1
27,12,0,1,1
76,77,0,1,1
93,88,0,1,1
89,95,1,1,0
47,11,1,0,-1
60,85,1,0,-1
88,97,1,0,-1
17,36,1,0,-1
47,65,1,0,-1
22,64,1,0,-1
79,93,1,1,0
89,11,0,1,1
75,48,0,1,1
97,99,1,0,-1
97,98,0,1,1
72,48,1,0,-1
84,94,0,1,1
71,85,0,1,1
17,27,1,0,-1
48,63,1,0,-1
90,99,0,1,1
97,19,0,1,1
49,78,0,1,1
12,24,1,0,-1
24,90,1,0,-1
61,69,0,1,1
25,22,1,0,-1
65,95,1,0,-1
17,22,1,0,-1
64,75,1,0,-1
11,23,0,1,1
72,93,0,1,1
99,89,1,0,-1
59,83,0,1,1
94,59,1,0,-1
14,48,0,1,1
70,59,1,0,-1
19,24,1,0,-1
49,22,1,0,-1
88,22,0,1,1
61,70,1,0,-1
36,19,1,1,0
22,90,1,0,-1
62,98,1,0,-1
27,59,1,0,-1
63,70,1,0,-1
99,72,0,1,1
34,23,0,1,1
49,63,1,0,-1
11,26,1,1,0
90,26,1,0,-1
64,72,0,1,1
83,72,1,0,-1
64,47,0,1,1
49,14,1,0,-1
30,19,1,0,-1
86,82,1,0,-1
60,48,1,0,-1
98,61,1,0,-1
83,70,1,0,-1
93,61,1,1,0
15,30,0,1,1
23,24,1,1,0
15,12,0,1,1
23,11,0,1,1
48,66,1,0,-1
78,73,0,1,1
89,90,0,1,1
23,26,1,1,0
17,19,1,0,-1
65,72,1,0,-1
22,93,0,1,1
17,81,0,1,1
27,99,1,1,0
66,72,0,1,1
81,97,1,0,-1
85,81,1,0,-1
79,65,0,1,1
48,75,1,0,-1
47,36,1,1,0
95,67,0,1,1
12,98,0,1,1
78,81,0,1,1
27,19,1,0,-1
72,15,1,1,0
61,60,1,1,0
48,25,1,1,0
92,43,1,0,-1
12,97,0,1,1
70,36,1,0,-1
26,99,0,1,1
12,81,1,0,-1
27,48,0,1,1
62,63,1,0,-1
11,30,1,1,0
14,12,0,1,1
12,48,1,1,0
19,98,1,0,-1
11,99,0,1,1
27,36,1,1,0
28,26,0,1,1
89,27,1,0,-1
18,37,1,0,-1
79,84,0,1,1
93,90,0,1,1
17,18,1,0,-1
95,84,1,1,0
94,93,1,0,-1
61,59,1,0,-1
48,35,0,1,1
83,60,1,0,-1
90,19,1,1,0
11,97,1,0,-1
69,68,1,0,-1
73,60,1,0,-1
84,66,0,1,1
75,74,0,1,1
12,27,0,1,1
48,21,1,0,-1
63,72,0,1,1
61,47,1,0,-1
19,36,1,0,-1
27,82,0,1,1
69,62,0,1,1
27,28,1,0,-1
11,24,1,0,-1
85,63,0,1,1
30,17,1,0,-1
34,48,0,1,1
12,28,1,0,-1
14,65,0,1,1
17,70,1,1,0
78,76,1,0,-1
84,61,0,1,1
11,27,1,0,-1
69,64,1,1,0
19,93,1,1,0
72,47,1,0,-1
69,63,1,1,0
94,71,0,1,1
98,82,1,0,-1
23,48,0,1,1
92,82,0,1,1
24,18,1,0,-1
61,94,0,1,1
84,47,1,0,-1
23,36,1,0,-1
11,22,1,0,-1
73,37,0,1,1
60,11,1,0,-1
62,66,1,1,0
65,64,1,0,-1
81,17,1,0,-1
14,84,0,1,1
18,26,1,1,0
20,85,1,0,-1
15,90,0,1,1
66,59,1,0,-1
93,63,1,0,-1
59,62,1,0,-1
85,86,0,1,1
90,88,0,1,1
19,14,1,1,0
34,22,1,0,-1
24,88,0,1,1
64,94,0,1,1
21,99,1,1,0
43,78,0,1,1
59,49,0,1,1
95,93,0,1,1
27,81,1,0,-1
36,47,0,1,1
17,26,1,0,-1
76,73,1,0,-1
69,23,1,0,-1
59,70,1,0,-1
78,66,0,1,1
25,85,1,0,-1
24,98,0,1,1
61,85,1,0,-1
47,61,1,0,-1
79,63,1,0,-1
81,75,0,1,1
73,78,0,1,1
99,93,1,0,-1
17,61,0,1,1
28,18,0,1,1
21,36,1,0,-1
70,93,1,0,-1
36,21,0,1,1
61,64,0,1,1
15,89,0,1,1
19,23,1,1,0
97,24,0,1,1
84,34,1,0,-1
36,99,1,0,-1
64,62,1,0,-1
83,62,0,1,1
92,48,0,1,1
70,69,1,0,-1
72,85,1,0,-1
22,12,1,0,-1
21,27,0,1,1
24,36,1,1,0
93,92,1,1,0
60,83,0,1,1
89,88,1,0,-1
48,98,0,1,1
69,61,1,1,0
72,64,1,0,-1
21,28,1,1,0
48,94,0,1,1
18,81,1,0,-1
66,68,1,0,-1
48,19,1,1,0
99,70,1,0,-1
26,89,1,0,-1
65,93,1,0,-1
12,88,0,1,1
66,62,1,0,-1
19,25,1,1,0
17,99,1,0,-1
11,28,1,0,-1
60,24,1,1,0
89,12,1,0,-1
93,69,1,1,0
69,70,1,0,-1
17,90,1,0,-1
20,18,1,0,-1
