duration_bucket,seeds,support_mean,support_std,baseline_accuracy_mean,baseline_accuracy_std,candidate_accuracy_mean,candidate_accuracy_std,improvement_mean,improvement_std,fixed_mean,fixed_std,regressed_mean,regressed_std
"[10,20)",3,866.0,0.0,0.3903002309468822,0.014422628171820778,0.4414934565050039,0.006359781232431995,0.051193225558121634,0.011566573673069052,119.0,8.888194417315589,74.66666666666667,4.163331998932265
"[10,20]",3,975.0,0.0,0.4153846153846154,0.01628154652962825,0.4629059829059829,0.01543013209763659,0.04752136752136752,0.0122362599440501,139.66666666666666,10.214368964029708,93.33333333333333,2.081665999466133
"[2,4)",3,13.0,0.0,0.25641025641025644,0.1175019408963036,0.25641025641025644,0.08882311833686551,0.0,0.07692307692307693,0.6666666666666666,1.1547005383792517,0.6666666666666666,0.5773502691896258
"[4,6)",3,18.0,0.0,0.27777777777777773,0.09622504486493764,0.3148148148148148,0.03207501495497919,0.037037037037037035,0.12830005981991682,2.0,1.0,1.3333333333333333,1.5275252316519468
"[6,10)",3,151.0,0.0,0.3112582781456954,0.01986754966887419,0.3509933774834437,0.033112582781456956,0.03973509933774836,0.02886688042079915,19.0,2.6457513110645907,13.0,4.0
