model,confidence_bucket,seeds,support_mean,support_std,accuracy_mean,accuracy_std,mean_confidence_mean,mean_confidence_std,calibration_gap_mean,calibration_gap_std
baseline,"[0,0.4)",3,283.6666666666667,79.35573913292808,0.14096623773950603,0.03588777010104113,0.323569538403101,0.004960324204725328,0.18260330066359498,0.03932118545646483
baseline,"[0.4,0.6)",3,502.0,36.345563690772494,0.2327873336894386,0.019722738455203778,0.5012066695012695,0.004367078700305509,0.2684193358118308,0.02407973936217467
baseline,"[0.6,0.8)",3,459.3333333333333,28.005951748393294,0.32152048394854055,0.05822376555672701,0.7004385154531484,0.004422087410873942,0.3789180315046079,0.05460501832939294
baseline,"[0.8,1)",3,778.0,91.68969407736073,0.6359835910392349,0.02936954293580482,0.9297385228510341,0.00878807220371214,0.2937549318117992,0.038060258122138625
candidate,"[0,0.4)",3,281.3333333333333,110.82117727823204,0.17426812560063917,0.028794208438859294,0.3232833480043538,0.00770932340183418,0.14901522240371465,0.024506266896576697
candidate,"[0.4,0.6)",3,495.3333333333333,62.131580805040954,0.26605692950184756,0.04622352079696338,0.4986602193201299,0.004175781489887541,0.23260328981828235,0.050398831176081814
candidate,"[0.6,0.8)",3,448.0,31.240998703626616,0.3808469620208504,0.04519989825042107,0.6998162764783219,0.002021672961327433,0.31896931445747145,0.045618160387179495
candidate,"[0.8,1)",3,798.3333333333334,165.2099674152057,0.6866449171702224,0.045072274723371636,0.9273269353144826,0.007222250186898668,0.24068201814426024,0.052194721558231925
