contrast,seed,task,samples,speakers,baseline_accuracy,candidate_accuracy,difference_accuracy,bootstrap_accuracy_ci_low,bootstrap_accuracy_ci_high,probability_candidate_better_accuracy,baseline_balanced_accuracy,candidate_balanced_accuracy,difference_balanced_accuracy,bootstrap_balanced_accuracy_ci_low,bootstrap_balanced_accuracy_ci_high,probability_candidate_better_balanced_accuracy,baseline_macro_f1,candidate_macro_f1,difference_macro_f1,bootstrap_macro_f1_ci_low,bootstrap_macro_f1_ci_high,probability_candidate_better_macro_f1,baseline_correct_candidate_wrong,baseline_wrong_candidate_correct,mcnemar_exact_p,mcnemar_holm_p,mcnemar_holm_significant_0_05
large_prosody_vs_acoustic,44,region,2023,1342,0.9426594167078596,0.9436480474542758,0.000988630746416197,-0.005572512351394357,0.007611022111790348,0.5944,0.941103970117689,0.9418434749172606,0.0007395047995716331,-0.006299171852886395,0.007736295306826143,0.5883,0.9412484330461731,0.9422329168682401,0.0009844838220669505,-0.006053452967191411,0.007959641335649656,0.613,19,21,0.8746293123804207,1.0,False
large_prosody_vs_acoustic,44,province,2023,1342,0.5635195254572417,0.6070192782995552,0.043499752842313444,0.026828179442508628,0.05999008428358943,1.0,0.5655883583219905,0.608627932822036,0.043039574500045474,0.02641972500781434,0.059793100722060295,1.0,0.5577309568337423,0.602982716818738,0.045251759984995754,0.02826881884682366,0.06240698870085375,1.0,90,178,8.267073111186509e-08,3.3068292444746036e-07,True
large_vs_base_acoustic,42,region,2023,1342,0.9362333168561542,0.9426594167078596,0.006426099851705391,-0.003887505875636754,0.01684836471754214,0.8826,0.9338908801274393,0.9415516554745328,0.007660775347093529,-0.0025862668850323784,0.01830190641319252,0.9301,0.9351407096247715,0.941478495809542,0.006337786184770544,-0.003995998495129074,0.017084032957953764,0.8849,47,60,0.2458913146126843,1.0,False
large_vs_base_acoustic,42,province,2023,1342,0.4745427582797825,0.5442412259021255,0.06969846762234305,0.0450797765387808,0.09436781241242022,1.0,0.47705049618238915,0.5466764103364826,0.06962591415409347,0.045529605969078464,0.09359041543550725,1.0,0.47339454121764024,0.5335414492739703,0.06014690805633005,0.03497057410955983,0.08432752280526072,1.0,183,324,3.9193543238128145e-10,3.1354834590502516e-09,True
large_vs_base_acoustic,43,region,2023,1342,0.9401878398418191,0.9337617399901137,-0.006426099851705391,-0.01900964499802324,0.00588242506418946,0.1434,0.9370727420041473,0.9336649775470688,-0.003407764457078466,-0.016207470768575705,0.008961652711426623,0.3001,0.9384450822008588,0.9328372144117755,-0.005607867789083287,-0.018557878885154446,0.006912451429921951,0.1945,71,58,0.290687854780737,1.0,False
large_vs_base_acoustic,43,province,2023,1342,0.4957983193277311,0.5422639644092931,0.046465645081562035,0.021391972609643036,0.07236205477264068,0.9998,0.4983768023530833,0.5442370753272502,0.045860272974166894,0.020955181987067223,0.07007494388759643,0.9999,0.4912528758835486,0.532026717558392,0.040773841674843436,0.014942447311106319,0.06593936702997029,0.9993,212,306,4.192152712793939e-05,4.192152712793939e-05,True
large_vs_base_acoustic,44,region,2023,1342,0.9436480474542758,0.9426594167078596,-0.000988630746416197,-0.0122370563252461,0.009945601467886828,0.4229,0.9416196322388387,0.941103970117689,-0.0005156621211497292,-0.011911046832281138,0.010609659106624408,0.476,0.9425312144209815,0.9412484330461731,-0.0012827813748084171,-0.01278553788360012,0.01008081765103999,0.4236,52,50,0.9211910492538722,1.0,False
large_vs_base_acoustic,44,province,2023,1342,0.4681166584280771,0.5635195254572417,0.09540286702916462,0.06996440395873493,0.12073115048127414,1.0,0.46942959551896457,0.5655883583219905,0.09615876280302593,0.07204843010221458,0.12023245870608221,1.0,0.46106714508893526,0.5577309568337423,0.09666381174480704,0.07184229228257634,0.12071261983039223,1.0,174,367,7.167511488201093e-17,8.601013785841312e-16,True
large_vs_base_prosody,42,region,2023,1342,0.9367276322293623,0.9436480474542758,0.00692041522491349,-0.00250887528460155,0.016798727470165895,0.913,0.9339808291791978,0.9417315535780496,0.007750724398851827,-0.002261479986178119,0.01798571514757536,0.9352,0.9354628010072794,0.9422712712546115,0.00680847024733211,-0.0031022649358942774,0.01703949635338356,0.9101,36,50,0.16057841913397977,1.0,False
large_vs_base_prosody,42,province,2023,1342,0.5279288185862581,0.5986159169550173,0.0706870983687592,0.0469385462622393,0.09409468291821231,1.0,0.5301838113093705,0.6008813722214058,0.07069756091203527,0.04801371738212361,0.09274192115324979,1.0,0.5262417568525414,0.5932164999358027,0.06697474308326135,0.04361328409232699,0.09009040267286601,1.0,153,296,1.398293093231874e-11,1.398293093231874e-10,True
large_vs_base_prosody,43,region,2023,1342,0.944142362827484,0.9401878398418191,-0.003954522985664899,-0.014617365755310804,0.006576287540334997,0.2206,0.9411499745945426,0.9393111687883656,-0.001838805806177013,-0.012483214733707304,0.008855380652373838,0.3781,0.9430125505644114,0.9391701576967831,-0.0038423928676282193,-0.014646336440607578,0.0069325431712202335,0.2445,50,42,0.46570744577306195,1.0,False
large_vs_base_prosody,43,province,2023,1342,0.5383094414236282,0.5907068709836876,0.05239742956005933,0.028542457079012002,0.0760176557135851,1.0,0.5394815230994188,0.5922992658605241,0.05281774276110529,0.029107998852155093,0.07519654485193875,1.0,0.5315347359596793,0.5888446905544971,0.0573099545948178,0.03269224432725076,0.08003374461816803,1.0,180,286,1.0389640628316142e-06,3.1168921884948424e-06,True
large_vs_base_prosody,44,region,2023,1342,0.9387048937221948,0.9436480474542758,0.004943153732080985,-0.0053659846608231756,0.015400091996456467,0.818,0.9364671308312391,0.9418434749172606,0.005376344086021501,-0.005134452023749689,0.01613723172184957,0.845,0.9373557067541558,0.9422329168682401,0.004877210114084263,-0.005644999161028438,0.01562729514195017,0.8207,43,53,0.3583976321916263,1.0,False
large_vs_base_prosody,44,province,2023,1342,0.5234799802273851,0.6070192782995552,0.08353929807217009,0.05992045804534929,0.10709046454767723,1.0,0.5256088110377298,0.608627932822036,0.08301912178430615,0.05961682780168533,0.10528072656536515,1.0,0.5214293892640504,0.602982716818738,0.0815533275546877,0.057190949202196605,0.1042787361892133,1.0,149,318,3.820351021090548e-15,4.202386123199603e-14,True
