contrast,task,runs,baseline_accuracy_mean,candidate_accuracy_mean,difference_accuracy_mean,bootstrap_ci_excludes_zero_accuracy_runs,candidate_better_accuracy_runs,baseline_balanced_accuracy_mean,candidate_balanced_accuracy_mean,difference_balanced_accuracy_mean,bootstrap_ci_excludes_zero_balanced_accuracy_runs,candidate_better_balanced_accuracy_runs,baseline_macro_f1_mean,candidate_macro_f1_mean,difference_macro_f1_mean,bootstrap_ci_excludes_zero_macro_f1_runs,candidate_better_macro_f1_runs,mcnemar_holm_significant_runs
base_prosody_vs_acoustic,region,3,0.9400230680507496,0.9398582962596804,-0.00016477179106932915,0,2,0.9375277514568084,0.9371993115349931,-0.00032843992181523046,0,2,0.9387056687488706,0.9386103527752822,-9.531597358839831e-05,0,2,0
base_prosody_vs_acoustic,province,3,0.4794859120118636,0.5299060800790905,0.0504201680672269,3,3,0.4816189646848123,0.531758048482173,0.050139083797360706,3,3,0.47523818739670803,0.5264019606920903,0.0511637732953823,3,3,3
large_prosody_vs_acoustic,region,3,0.939693524468611,0.9424946449167901,0.0028011204481792618,0,3,0.9387735343797635,0.9409620657612253,0.0021885313814617633,0,3,0.9385213810891635,0.9412247819398782,0.0027034008507147065,0,3,0
large_prosody_vs_acoustic,province,3,0.5500082385895535,0.5987806887460866,0.0487724501565332,3,3,0.5521672813285744,0.6006028569679885,0.048435575639414176,3,3,0.5410997078887015,0.5950146357696793,0.05391492788097774,3,3,3
large_vs_base_acoustic,region,3,0.9400230680507496,0.939693524468611,-0.0003295435821387323,0,1,0.9375277514568084,0.9387735343797635,0.0012457829229551114,0,1,0.9387056687488706,0.9385213810891635,-0.00018428765970705344,0,1,0
large_vs_base_acoustic,province,3,0.4794859120118636,0.5500082385895535,0.0705223265776899,3,3,0.4816189646848123,0.5521672813285744,0.0705483166437621,3,3,0.47523818739670803,0.5410997078887015,0.06586152049199351,3,3,3
large_vs_base_prosody,region,3,0.9398582962596804,0.9424946449167901,0.0026363486571098584,0,2,0.9371993115349931,0.9409620657612253,0.0037627542262321048,0,2,0.9386103527752822,0.9412247819398782,0.0026144291645960513,0,2,0
large_vs_base_prosody,province,3,0.5299060800790905,0.5987806887460866,0.0688746086669962,3,3,0.531758048482173,0.6006028569679885,0.06884480848581558,3,3,0.5264019606920903,0.5950146357696793,0.06861267507758895,3,3,3
